name,address,ticker,sector
Ulta Beauty,"Bolingbrook, Illinois",ULTA,Consumer Discretionary
U.S. Bancorp,"Minneapolis, Minnesota",USB,Financials
Under Armour Class A,"Baltimore, Maryland",UAA,Consumer Discretionary
Under Armour Class C,"Baltimore, Maryland",UA,Consumer Discretionary
Union Pacific,"Omaha, Nebraska",UNP,Industrials
United Continental Holdings,"Chicago, Illinois",UAL,Industrials
United Health Group Inc.,"Minnetonka, Minnesota",UNH,Health Care
United Parcel Service,"Atlanta, Georgia",UPS,Industrials
"United Rentals, Inc.","Stamford, Connecticut",URI,Industrials
United Technologies,"Hartford, Connecticut",UTX,Industrials
"Universal Health Services, Inc.","King of Prussia, Pennsylvania",UHS,Health Care
Unum Group,"Chattanooga, Tennessee",UNM,Financials
V.F. Corp.,"Greensboro, North Carolina",VFC,Consumer Discretionary
Valero Energy,"San Antonio, Texas",VLO,Energy
Varian Medical Systems,"Palo Alto, California",VAR,Health Care
Ventas Inc,"Chicago, Illinois",VTR,Real Estate
Verisign Inc.,"Dulles, Virginia",VRSN,Information Technology
Verisk Analytics,"Jersey City, New Jersey",VRSK,Industrials
Verizon Communications,"New York, New York",VZ,Telecommunication Services
Vertex Pharmaceuticals Inc,"Cambridge, Massachusetts",VRTX,Health Care
Viacom Inc.,"New York, New York",VIAB,Consumer Discretionary
Visa Inc.,"San Francisco, California",V,Information Technology
Vornado Realty Trust,"New York, New York",VNO,Real Estate
Vulcan Materials,"Birmingham, Alabama",VMC,Materials
Wal-Mart Stores,"Bentonville, Arkansas",WMT,Consumer Staples
Walgreens Boots Alliance,"Deerfield, Illinois",WBA,Consumer Staples
The Walt Disney Company,"Burbank, California",DIS,Consumer Discretionary
Waste Management Inc.,"Houston, Texas",WM,Industrials
Waters Corporation,"Milford, Massachusetts",WAT,Health Care
Wec Energy Group Inc,"Milwaukee, Wisconsin",WEC,Utilities
Wells Fargo,"San Francisco, California",WFC,Financials
Welltower Inc.,"Toledo, Ohio",WELL,Real Estate
Western Digital,"Irvine, California",WDC,Information Technology
Western Union Co,"Englewood, Colorado",WU,Information Technology
WestRock Company,"Richmond, Virginia",WRK,Materials
Weyerhaeuser Corp.,"Federal Way, Washington",WY,Real Estate
Whirlpool Corp.,"Benton Harbor, Michigan",WHR,Consumer Discretionary
Williams Cos.,"Tulsa, Oklahoma",WMB,Energy
Willis Towers Watson,"London, United Kingdom",WLTW,Financials
Wyndham Worldwide,"Parsippany, New Jersey",WYN,Consumer Discretionary
Wynn Resorts Ltd,"Paradise, Nevada",WYNN,Consumer Discretionary
Xcel Energy Inc,"Minneapolis, Minnesota",XEL,Utilities
Xerox Corp.,"Norwalk, Connecticut",XRX,Information Technology
Xilinx Inc,"San Jose, California",XLNX,Information Technology
XL Capital,"Hamilton, Bermuda",XL,Financials
Xylem Inc.,"White Plains, New York",XYL,Industrials
Yum! Brands Inc,"Louisville, Kentucky",YUM,Consumer Discretionary
Zimmer Biomet Holdings,"Warsaw, Indiana",ZBH,Health Care
Zions Bancorp,"Salt Lake City, Utah",ZION,Financials
Zoetis,"Florham Park, New Jersey",ZTS,Health Care
