name,address,ticker,sector
CF Industries Holdings Inc,"Deerfield, Illinois",CF,Materials
Charles Schwab Corporation,"San Francisco, California",SCHW,Financials
Charter Communications,"Stamford, Connecticut",CHTR,Consumer Discretionary
Chevron Corp.,"San Ramon, California",CVX,Energy
Chipotle Mexican Grill,"Denver, Colorado",CMG,Consumer Discretionary
Chubb Limited,"Zurich, Switzerland",CB,Financials
Church & Dwight,"Ewing, New Jersey",CHD,Consumer Staples
CIGNA Corp.,"Philadelphia, Pennsylvania",CI,Health Care
Cimarex Energy,"Denver, Colorado",XEC,Energy
Cincinnati Financial,"Fairfield, Ohio",CINF,Financials
Cintas Corporation,"Mason, Ohio",CTAS,Industrials
Cisco Systems,"San Jose, California",CSCO,Information Technology
Citigroup Inc.,"New York, New York",C,Financials
Citizens Financial Group,"Providence, Rhode Island",CFG,Financials
Citrix Systems,"Fort Lauderdale, Florida",CTXS,Information Technology
The Clorox Company,"Oakland, California",CLX,Consumer Staples
CME Group Inc.,"Chicago, Illinois",CME,Financials
CMS Energy,"Jackson, Michigan",CMS,Utilities
Coca-Cola Company (The),"Atlanta, Georgia",KO,Consumer Staples
Cognizant Technology Solutions,"Teaneck, New Jersey",CTSH,Information Technology
Colgate-Palmolive,"New York, New York",CL,Consumer Staples
Comcast Corp.,"Philadelphia, Pennsylvania",CMCSA,Consumer Discretionary
Comerica Inc.,"Dallas, Texas",CMA,Financials
Conagra Brands,"Chicago, Illinois",CAG,Consumer Staples
Concho Resources,"Midland, Texas",CXO,Energy
ConocoPhillips,"Houston, Texas",COP,Energy
Consolidated Edison,"New York, New York",ED,Utilities
Constellation Brands,"Victor, New York",STZ,Consumer Staples
The Cooper Companies,"Pleasanton, California",COO,Health Care
Corning Inc.,"Corning, New York",GLW,Information Technology
Costco Wholesale Corp.,"Issaquah, Washington",COST,Consumer Staples
"Coty, Inc","New York, New York",COTY,Consumer Staples
Crown Castle International Corp.,"Houston, Texas",CCI,Real Estate
CSRA Inc.,"Falls Church, Virginia",CSRA,Information Technology
CSX Corp.,"Jacksonville, Florida",CSX,Industrials
Cummins Inc.,"Columbus, Indiana",CMI,Industrials
CVS Health,"Woonsocket, Rhode Island",CVS,Consumer Staples
D. R. Horton,"Fort Worth, Texas",DHI,Consumer Discretionary
Danaher Corp.,"Washington, D.C.",DHR,Health Care
Darden Restaurants,"Orlando, Florida",DRI,Consumer Discretionary
DaVita Inc.,"Denver, Colorado",DVA,Health Care
Deere & Co.,"Moline, Illinois",DE,Industrials
Delta Air Lines Inc.,"Atlanta, Georgia",DAL,Industrials
Dentsply Sirona,"York, Pennsylvania",XRAY,Health Care
Devon Energy Corp.,"Oklahoma City, Oklahoma",DVN,Energy
Digital Realty Trust Inc,"San Francisco, California",DLR,Real Estate
Discover Financial Services,"Riverwoods, Illinois",DFS,Financials
Discovery Inc. Class A,"Silver Spring, Maryland",DISCA,Consumer Discretionary
Discovery Inc. Class C,"Silver Spring, Maryland",DISCK,Consumer Discretionary
Dish Network,"Meridian, Colorado",DISH,Consumer Discretionary
Dollar General,"Goodlettsville, Tennessee",DG,Consumer Discretionary
Dollar Tree,"Chesapeake, Virginia",DLTR,Consumer Discretionary
Dominion Energy,"Richmond, Virginia",D,Utilities
Dover Corp.,"Downers Grove, Illinois",DOV,Industrials
DowDuPont,"Midland, Michigan",DWDP,Materials
Dr Pepper Snapple Group,"Plano, Texas",DPS,Consumer Staples
DTE Energy Co.,"Detroit, Michigan",DTE,Utilities
Duke Realty Corp,"Indianapolis, Indiana",DRE,Real Estate
Duke Energy,"Charlotte, North Carolina",DUK,Utilities
DXC Technology,"Tysons Corner, Virginia",DXC,Information Technology
E*Trade,"New York, New York",ETFC,Financials
Eastman Chemical,"Kingsport, Tennessee",EMN,Materials
Eaton Corporation,"Dublin, Ireland",ETN,Industrials
eBay Inc.,"San Jose, California",EBAY,Information Technology
Ecolab Inc.,"St. Paul, Minnesota",ECL,Materials
Edison Int'l,"Rosemead, California",EIX,Utilities
Edwards Lifesciences,"Irvine, California",EW,Health Care
Electronic Arts,"Redwood City, California",EA,Information Technology
Emerson Electric Company,"Ferguson, Missouri",EMR,Industrials
Entergy Corp.,"New Orleans, Louisiana",ETR,Utilities
Envision Healthcare,"Nashville, Tennessee",EVHC,Health Care
EOG Resources,"Houston, Texas",EOG,Energy
EQT Corporation,"Pittsburgh, Pennsylvania",EQT,Energy
Equifax Inc.,"Atlanta, Georgia",EFX,Industrials
Equinix,"Redwood City, California",EQIX,Real Estate
Equity Residential,"Chicago, Illinois",EQR,Real Estate
